epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2621,2.14402,3.22845,2.12672,0.00685,0.0252,0.00472,0.00124,3.14141,inf,3.99151,0.000662393,0.000662393,0.000662393
2,98.2953,2.31473,3.1536,2.33402,0.01718,0.02785,0.00497,0.00125,3.35541,16.3307,4.28797,0.00132029,0.00132029,0.00132029
3,142.494,2.20891,3.15968,2.29744,0.01597,0.04509,0.00684,0.00126,3.27804,16.1621,3.33953,0.00196938,0.00196938,0.00196938
4,186.607,2.1348,2.96595,2.20346,0.15975,0.09947,0.05929,0.01843,2.75079,5.32672,2.59404,0.0019604,0.0019604,0.0019604
5,230.933,2.0717,2.80391,2.11103,0.13984,0.18302,0.0871,0.03146,2.35653,3.58058,2.32414,0.0019472,0.0019472,0.0019472
6,274.899,1.96728,2.67289,2.0457,0.19571,0.22679,0.1167,0.04088,2.39784,2.94939,2.33589,0.001934,0.001934,0.001934
7,319.314,1.92059,2.55419,1.98034,0.22624,0.25066,0.14637,0.05208,2.25309,3.29904,2.15354,0.0019208,0.0019208,0.0019208
8,363.413,1.82213,2.41291,1.88819,0.35126,0.2878,0.23667,0.09567,2.15484,2.64049,2.03409,0.0019076,0.0019076,0.0019076
9,407.526,1.81316,2.344,1.88446,0.32451,0.31963,0.25188,0.10139,2.07613,2.52198,1.97864,0.0018944,0.0018944,0.0018944
10,451.738,1.7681,2.2386,1.85395,0.38037,0.37666,0.28533,0.11073,2.05982,2.41167,1.97765,0.0018812,0.0018812,0.0018812
11,496.093,1.7387,2.15903,1.79004,0.419,0.35294,0.30763,0.13334,2.03993,2.37696,1.91569,0.001868,0.001868,0.001868
12,540.04,1.70843,2.09332,1.7787,0.37899,0.39125,0.32775,0.13577,2.05958,2.31007,1.93615,0.0018548,0.0018548,0.0018548
13,583.898,1.6839,2.09909,1.76635,0.4725,0.39523,0.37483,0.15308,1.9691,2.26878,1.87722,0.0018416,0.0018416,0.0018416
14,629.04,1.68919,2.07858,1.76213,0.39794,0.36117,0.32343,0.13314,2.03049,2.44751,1.93961,0.0018284,0.0018284,0.0018284
15,673.623,1.65794,1.97008,1.70464,0.4923,0.46021,0.41114,0.17143,1.9565,2.07889,1.87852,0.0018152,0.0018152,0.0018152
16,718.258,1.63147,1.93646,1.70987,0.47458,0.41512,0.39298,0.17617,1.85835,2.18779,1.82772,0.001802,0.001802,0.001802
17,763.443,1.60863,1.91008,1.67843,0.48225,0.45093,0.41852,0.18086,1.87288,2.07392,1.79278,0.0017888,0.0017888,0.0017888
18,808.823,1.57143,1.82048,1.66617,0.5046,0.46552,0.43466,0.19903,1.8645,1.99389,1.78549,0.0017756,0.0017756,0.0017756
19,853.556,1.58379,1.85056,1.66926,0.49939,0.44695,0.44137,0.20066,1.90287,1.9825,1.8102,0.0017624,0.0017624,0.0017624
20,898.809,1.54589,1.79076,1.64597,0.48748,0.47745,0.44181,0.20702,1.85483,1.91996,1.79532,0.0017492,0.0017492,0.0017492
21,943.594,1.54004,1.75196,1.64168,0.58314,0.5305,0.51665,0.22691,1.83354,1.79185,1.76382,0.001736,0.001736,0.001736
22,988.027,1.54382,1.74923,1.63634,0.50816,0.47138,0.43997,0.20914,1.85365,1.91625,1.80279,0.0017228,0.0017228,0.0017228
23,1032.56,1.53598,1.74929,1.64549,0.57283,0.50265,0.50402,0.24967,1.77553,1.79199,1.71988,0.0017096,0.0017096,0.0017096
24,1077.57,1.48925,1.70653,1.59566,0.56675,0.48806,0.48187,0.22502,1.84893,1.87608,1.75802,0.0016964,0.0016964,0.0016964
25,1122.08,1.49777,1.67043,1.58671,0.55327,0.5504,0.49937,0.23308,1.77656,1.75036,1.72881,0.0016832,0.0016832,0.0016832
26,1166.73,1.47077,1.6735,1.59708,0.61655,0.53448,0.54876,0.26063,1.79834,1.66992,1.73446,0.00167,0.00167,0.00167
27,1211.65,1.47078,1.64735,1.57299,0.59548,0.55703,0.55316,0.26433,1.82233,1.68175,1.75911,0.0016568,0.0016568,0.0016568
28,1256.2,1.44604,1.55894,1.55072,0.59893,0.52255,0.52878,0.24954,1.81577,1.7492,1.72727,0.0016436,0.0016436,0.0016436
29,1300.73,1.44576,1.57617,1.54718,0.60218,0.59682,0.56278,0.29723,1.67961,1.56918,1.65825,0.0016304,0.0016304,0.0016304
30,1345.67,1.41823,1.51942,1.54682,0.5711,0.57427,0.50469,0.24283,1.74214,1.7143,1.75102,0.0016172,0.0016172,0.0016172
31,1390.4,1.43303,1.51102,1.54832,0.61671,0.57427,0.56635,0.2767,1.74266,1.61066,1.68886,0.001604,0.001604,0.001604
32,1435.5,1.39547,1.48181,1.51911,0.65367,0.59076,0.5974,0.30756,1.68674,1.57757,1.64171,0.0015908,0.0015908,0.0015908
33,1480.84,1.40854,1.49546,1.51138,0.66084,0.56366,0.58371,0.29531,1.69299,1.54144,1.65812,0.0015776,0.0015776,0.0015776
34,1526.04,1.39071,1.4483,1.50098,0.65332,0.58488,0.59469,0.30243,1.68616,1.52333,1.65613,0.0015644,0.0015644,0.0015644
35,1570.78,1.37716,1.43723,1.49194,0.67298,0.57162,0.60471,0.31947,1.64836,1.50463,1.61407,0.0015512,0.0015512,0.0015512
36,1615.94,1.3672,1.43876,1.49612,0.61951,0.58355,0.58372,0.30268,1.66909,1.5654,1.6576,0.001538,0.001538,0.001538
37,1661.16,1.34731,1.4213,1.49378,0.63055,0.60345,0.61363,0.31677,1.64839,1.5059,1.63702,0.0015248,0.0015248,0.0015248
38,1706.26,1.34371,1.35597,1.45958,0.65939,0.5854,0.5974,0.32644,1.61743,1.46147,1.6502,0.0015116,0.0015116,0.0015116
39,1751.46,1.33707,1.37184,1.47028,0.63372,0.60345,0.59925,0.32073,1.64399,1.49672,1.6479,0.0014984,0.0014984,0.0014984
40,1796.66,1.34908,1.37304,1.46115,0.63258,0.61538,0.62246,0.32212,1.67318,1.49562,1.63297,0.0014852,0.0014852,0.0014852
41,1842.49,1.34942,1.35754,1.47914,0.66778,0.59019,0.60768,0.321,1.66874,1.53506,1.6373,0.001472,0.001472,0.001472
42,1887.71,1.29992,1.32189,1.44753,0.66914,0.63926,0.6259,0.32723,1.65441,1.48563,1.62407,0.0014588,0.0014588,0.0014588
43,1933.1,1.30297,1.33167,1.435,0.67551,0.58886,0.62325,0.34044,1.59685,1.41517,1.58657,0.0014456,0.0014456,0.0014456
44,1979.03,1.29617,1.29821,1.43821,0.68614,0.62334,0.652,0.35201,1.59803,1.39643,1.58936,0.0014324,0.0014324,0.0014324
45,2024.47,1.27338,1.30272,1.43064,0.6866,0.63395,0.65394,0.35884,1.6038,1.34941,1.59543,0.0014192,0.0014192,0.0014192
