epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4053,1.44579,2.12836,1.11169,0.00942,0.67399,0.34027,0.18189,1.41084,3.13424,1.07435,0.000655172,0.000655172,0.000655172
2,37.6502,1.39752,1.4633,1.11405,0.68785,0.57308,0.59231,0.278,1.88263,2.07457,1.45537,0.00130548,0.00130548,0.00130548
3,55.6245,1.41169,1.29828,1.13449,0.75464,0.72161,0.78423,0.41245,1.4635,1.51168,1.20103,0.00193929,0.00193929,0.00193929
4,73.8348,1.43915,1.17599,1.14243,0.81489,0.72565,0.79873,0.47494,1.34508,1.57749,1.183,0.00192575,0.00192575,0.00192575
5,92.6574,1.36251,1.07487,1.1333,0.856,0.74725,0.8576,0.45488,1.51119,1.2175,1.21373,0.001901,0.001901,0.001901
6,110.976,1.36068,1.00037,1.1206,0.90052,0.81238,0.89907,0.54971,1.30267,0.95617,1.11889,0.00187625,0.00187625,0.00187625
7,129.595,1.31259,0.92932,1.08197,0.85782,0.79558,0.87239,0.56601,1.32509,0.98291,1.1398,0.0018515,0.0018515,0.0018515
8,148.287,1.29595,0.89395,1.09262,0.86922,0.80769,0.8968,0.55314,1.28929,0.90709,1.12948,0.00182675,0.00182675,0.00182675
9,166.793,1.26905,0.86492,1.07814,0.88651,0.72962,0.82906,0.49702,1.41737,0.99391,1.16427,0.001802,0.001802,0.001802
10,185.612,1.27659,0.8578,1.06599,0.90033,0.8107,0.91537,0.57557,1.23354,0.87617,1.07028,0.00177725,0.00177725,0.00177725
11,204.044,1.22554,0.81441,1.062,0.92384,0.82967,0.9373,0.59908,1.2005,0.78368,1.10408,0.0017525,0.0017525,0.0017525
12,223.194,1.22973,0.80624,1.05786,0.90479,0.87028,0.94479,0.62364,1.17313,0.77895,1.08274,0.00172775,0.00172775,0.00172775
13,242.089,1.20194,0.7813,1.04998,0.89783,0.88522,0.94188,0.63193,1.17324,0.72649,1.0716,0.001703,0.001703,0.001703
14,260.975,1.17391,0.75996,1.03215,0.92842,0.82601,0.92604,0.56712,1.34557,0.78973,1.10011,0.00167825,0.00167825,0.00167825
15,279.794,1.18657,0.7532,1.03914,0.91117,0.84432,0.93748,0.63508,1.14207,0.70899,1.0618,0.0016535,0.0016535,0.0016535
16,299.086,1.16969,0.73528,1.03363,0.90916,0.88828,0.95348,0.65762,1.09376,0.65079,1.04042,0.00162875,0.00162875,0.00162875
17,318.304,1.153,0.70702,1.01164,0.92636,0.87545,0.95057,0.65863,1.10055,0.68088,1.01654,0.001604,0.001604,0.001604
18,337.681,1.1466,0.71745,1.01441,0.93765,0.90893,0.97253,0.67527,1.06888,0.64124,1.01985,0.00157925,0.00157925,0.00157925
19,356.566,1.12774,0.70025,1.02281,0.92031,0.89744,0.95683,0.66226,1.12831,0.68508,1.06991,0.0015545,0.0015545,0.0015545
20,375.549,1.15613,0.71506,1.02111,0.93375,0.87761,0.95653,0.65234,1.07101,0.6602,1.03013,0.00152975,0.00152975,0.00152975
21,394.52,1.14655,0.69239,1.01819,0.93491,0.88828,0.95368,0.6635,1.0879,0.63349,1.02394,0.001505,0.001505,0.001505
22,413.254,1.12561,0.67963,1.01715,0.93596,0.89011,0.96008,0.66885,1.06612,0.63952,1.0243,0.00148025,0.00148025,0.00148025
23,432.263,1.09804,0.66099,0.9927,0.94329,0.88339,0.96662,0.68187,1.05117,0.60168,1.01173,0.0014555,0.0014555,0.0014555
24,451.561,1.13396,0.67707,1.01404,0.93572,0.9064,0.96185,0.69462,1.03675,0.60196,1.01169,0.00143075,0.00143075,0.00143075
25,470.394,1.09417,0.65626,1.00197,0.93982,0.89377,0.96272,0.6625,1.11,0.63164,1.0171,0.001406,0.001406,0.001406
26,489.641,1.09058,0.65545,0.99342,0.91398,0.91026,0.96429,0.68348,1.03755,0.60275,1.00971,0.00138125,0.00138125,0.00138125
27,508.395,1.09954,0.66793,0.9947,0.95242,0.86996,0.96167,0.66076,1.06441,0.62152,1.0098,0.0013565,0.0013565,0.0013565
28,527.169,1.04545,0.65875,0.98986,0.93762,0.88278,0.96357,0.66677,1.06074,0.67425,0.99813,0.00133175,0.00133175,0.00133175
29,546.175,1.05924,0.63496,0.98655,0.96109,0.90478,0.97373,0.69892,1.00431,0.58191,0.98396,0.001307,0.001307,0.001307
30,565.103,1.0801,0.64326,0.99643,0.95957,0.91284,0.97325,0.68455,1.03272,0.58177,0.997,0.00128225,0.00128225,0.00128225
31,584.055,1.05635,0.62655,0.97622,0.93837,0.92491,0.9694,0.68788,1.01037,0.58856,0.98969,0.0012575,0.0012575,0.0012575
32,603.119,1.06082,0.6244,0.9836,0.92484,0.91026,0.96051,0.64985,1.0872,0.6092,1.01137,0.00123275,0.00123275,0.00123275
33,621.932,1.06453,0.61122,0.98073,0.93771,0.89744,0.96092,0.65168,1.09034,0.6045,1.01599,0.001208,0.001208,0.001208
34,640.957,1.0343,0.60844,0.96776,0.91015,0.88645,0.95244,0.63993,1.13469,0.6232,1.02773,0.00118325,0.00118325,0.00118325
35,659.959,1.02587,0.60165,0.97117,0.94392,0.92486,0.97333,0.68559,1.03251,0.55423,0.98966,0.0011585,0.0011585,0.0011585
36,679.014,1.02671,0.5896,0.958,0.95985,0.91948,0.98019,0.69275,1.04431,0.5525,0.99417,0.00113375,0.00113375,0.00113375
37,697.999,1.02747,0.58738,0.96481,0.94375,0.9011,0.97344,0.65659,1.09264,0.57217,0.99873,0.001109,0.001109,0.001109
38,716.972,1.02142,0.59842,0.97555,0.92494,0.92308,0.97152,0.6783,1.042,0.55542,0.99116,0.00108425,0.00108425,0.00108425
39,735.637,1.01207,0.57575,0.9696,0.95495,0.90842,0.97209,0.68996,1.06391,0.56963,1.01211,0.0010595,0.0010595,0.0010595
40,754.588,0.99935,0.57079,0.96228,0.95487,0.93002,0.98208,0.71612,1.00007,0.51969,0.97625,0.00103475,0.00103475,0.00103475
41,773.192,1.00148,0.58084,0.95659,0.95654,0.92719,0.98246,0.71953,0.96155,0.52966,0.96492,0.00101,0.00101,0.00101
42,791.868,1.02054,0.57744,0.96252,0.95225,0.90842,0.97145,0.69138,0.99568,0.54364,0.97491,0.00098525,0.00098525,0.00098525
43,810.804,0.98781,0.56389,0.94877,0.95029,0.94532,0.98457,0.71752,0.96597,0.51626,0.9733,0.0009605,0.0009605,0.0009605
44,829.517,0.98908,0.56812,0.95984,0.96084,0.91392,0.97463,0.6858,1.06075,0.53686,0.99747,0.00093575,0.00093575,0.00093575
45,848.304,0.96208,0.54548,0.94914,0.95501,0.91026,0.97416,0.69557,1.02857,0.53173,0.99819,0.000911,0.000911,0.000911
46,867.204,0.9886,0.56227,0.96374,0.95355,0.92308,0.97121,0.67919,1.07193,0.54812,0.99607,0.00088625,0.00088625,0.00088625
47,885.968,0.96474,0.5455,0.94142,0.97124,0.92772,0.98024,0.73599,0.9389,0.5028,0.9617,0.0008615,0.0008615,0.0008615
