epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/distill_feat_loss,train/distill_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/distill_feat_loss,val/distill_cls_loss,old/metrics/precision(B),old/metrics/recall(B),old/metrics/mAP50(B),old/metrics/mAP50-95(B),new/metrics/precision(B),new/metrics/recall(B),new/metrics/mAP50(B),new/metrics/mAP50-95(B),joint/metrics/precision(B),joint/metrics/recall(B),joint/metrics/mAP50(B),joint/metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
1,57.0738,1.51456,2.25927,1.16466,0.17718,0.00808,0.92845,0.29181,0.37524,0.22505,1.40673,2.33613,1.22354,0.16951,0.00912,0.83654,0.58191,0.72832,0.43222,0.00562,0.64706,0.21427,0.10104,0.92082,0.29023,0.37809,0.2228,0.000551326,0.000551326,0.000551326
2,106.826,1.4599,1.5734,1.14933,0.12459,0.00556,0.77159,0.45831,0.536,0.269,1.44768,1.73118,1.2526,0.17375,0.00701,0.79816,0.67065,0.74303,0.42386,0.56935,0.39005,0.42302,0.16628,0.62497,0.52574,0.55336,0.28173,0.00109603,0.00109603,0.00109603
3,156.354,1.40342,1.36067,1.13818,0.11653,0.00548,0.76751,0.60296,0.70693,0.41096,1.36002,1.53615,1.19806,1.23806,0.00573,0.76699,0.70478,0.7736,0.46804,0.64564,0.32326,0.55901,0.34784,0.82682,0.50455,0.65761,0.40195,0.00162974,0.00162974,0.00162974
4,209.138,1.38356,1.19988,1.13612,0.10575,0.00483,0.86997,0.70709,0.77251,0.42875,1.31802,1.18366,1.16371,0.22215,0.00428,0.84917,0.82627,0.89621,0.51429,0.67923,0.64706,0.50432,0.31731,0.74157,0.7002,0.69336,0.41215,0.00161749,0.00161749,0.00161749
5,259.466,1.38345,1.06932,1.13538,0.11045,0.00439,0.81276,0.72833,0.77308,0.47135,1.29412,1.06488,1.1449,0.2931,0.00403,0.82552,0.81229,0.88092,0.54346,0.80614,0.73476,0.73059,0.46173,0.76112,0.71221,0.78096,0.48873,0.00160099,0.00160099,0.00160099
6,309.204,1.31726,1.02018,1.12018,0.1025,0.00435,0.81114,0.69244,0.79292,0.45936,1.30536,0.95922,1.13542,0.11349,0.00421,0.85026,0.82365,0.89457,0.54064,0.74881,0.70169,0.683,0.44035,0.8734,0.62648,0.7693,0.48077,0.00158448,0.00158448,0.00158448
7,359.237,1.26512,0.96421,1.07192,0.09396,0.00438,0.78722,0.65519,0.74323,0.43365,1.29788,0.96722,1.12271,0.1626,0.00392,0.87693,0.82765,0.90489,0.55498,0.55547,0.7357,0.62393,0.38476,0.67634,0.76164,0.7319,0.44976,0.00156798,0.00156798,0.00156798
8,406.037,1.25574,0.9008,1.06876,0.08323,0.00422,0.78908,0.72797,0.8006,0.52557,1.18667,0.86339,1.07457,0.0884,0.00387,0.90899,0.85154,0.9318,0.62326,1,0.57687,0.69477,0.44482,0.80069,0.71177,0.80433,0.52973,0.00155148,0.00155148,0.00155148
9,452.954,1.27045,0.88587,1.08321,0.09801,0.00391,0.70892,0.6954,0.75272,0.49798,1.16683,0.87898,1.09872,0.08577,0.00372,0.92721,0.82608,0.92197,0.61751,0.66711,0.52941,0.58279,0.39405,0.73979,0.6531,0.70749,0.47876,0.00153497,0.00153497,0.00153497
10,500.04,1.2203,0.83717,1.07054,0.08994,0.00371,0.82439,0.77148,0.81328,0.52588,1.21665,0.81186,1.09412,0.07969,0.00375,0.89574,0.84983,0.91444,0.57901,0.96118,0.70588,0.74541,0.51495,0.87366,0.79833,0.81196,0.53392,0.00151847,0.00151847,0.00151847
11,549.115,1.21675,0.81886,1.05471,0.0899,0.00392,0.84239,0.77575,0.81335,0.51474,1.18977,0.79444,1.09103,0.10777,0.00356,0.89491,0.88647,0.94451,0.62649,0.89519,0.64706,0.64921,0.43671,0.91029,0.74503,0.7945,0.5301,0.00150197,0.00150197,0.00150197
12,603.69,1.22656,0.83683,1.05572,0.08179,0.0038,0.9063,0.81409,0.84628,0.5825,1.12239,0.76773,1.06403,0.08183,0.0037,0.93358,0.83949,0.9349,0.62838,0.84578,0.64532,0.69228,0.49713,0.833,0.76381,0.80554,0.55699,0.00148546,0.00148546,0.00148546
13,656.92,1.18851,0.81153,1.04841,0.08167,0.00359,0.77342,0.74516,0.78331,0.51177,1.15234,0.77203,1.06235,0.07782,0.00354,0.90217,0.86007,0.93542,0.62569,0.90779,0.57981,0.68142,0.44042,0.74989,0.75084,0.80033,0.5278,0.00146896,0.00146896,0.00146896
14,712.105,1.19269,0.82441,1.03427,0.08217,0.00376,0.785,0.7233,0.76598,0.50366,1.17122,0.74602,1.08846,0.14956,0.00337,0.91893,0.87043,0.9422,0.62264,0.78009,0.627,0.64327,0.44932,0.73819,0.71112,0.73819,0.49993,0.00145246,0.00145246,0.00145246
15,761.809,1.1748,0.82292,1.06079,0.08588,0.00355,0.72207,0.79236,0.76898,0.53422,1.13418,0.77407,1.08565,0.08626,0.00358,0.95734,0.84248,0.94188,0.63641,0.75999,0.74583,0.70841,0.47739,0.74068,0.81544,0.77886,0.52654,0.00143595,0.00143595,0.00143595
16,814.424,1.16926,0.76933,1.03874,0.08131,0.00353,0.81932,0.75152,0.78779,0.53151,1.13931,0.83958,1.07066,0.10745,0.00422,0.90132,0.82606,0.91179,0.61399,0.83055,0.57744,0.65282,0.44627,0.85358,0.70977,0.77008,0.52271,0.00141945,0.00141945,0.00141945
17,864.27,1.18904,0.75913,1.0324,0.07822,0.00346,0.75757,0.76401,0.76902,0.51427,1.13519,0.74024,1.05261,0.24532,0.0034,0.92979,0.85881,0.9467,0.64696,0.76822,0.64706,0.63442,0.43137,0.84048,0.70436,0.77923,0.53175,0.00140295,0.00140295,0.00140295
18,914.464,1.135,0.74622,1.02056,0.08227,0.00363,0.87726,0.73794,0.83626,0.55489,1.23781,0.75045,1.10052,0.13831,0.00361,0.90013,0.88567,0.94917,0.60654,0.8857,0.58824,0.66397,0.45025,0.91145,0.70556,0.7908,0.51915,0.00138644,0.00138644,0.00138644
19,964.77,1.15221,0.75683,1.02205,0.07047,0.00344,0.74779,0.817,0.79652,0.53376,1.15061,0.71276,1.0571,0.0748,0.0031,0.94071,0.88225,0.94948,0.61733,0.81864,0.64706,0.66221,0.46609,0.83294,0.76466,0.78681,0.52888,0.00136994,0.00136994,0.00136994
20,1014.65,1.11277,0.72978,1.02093,0.07806,0.00355,0.84708,0.75783,0.81677,0.53131,1.16519,0.74326,1.05457,0.06941,0.00308,0.91351,0.88323,0.94779,0.6173,0.83259,0.58536,0.65428,0.46906,0.75373,0.69013,0.77016,0.52099,0.00135344,0.00135344,0.00135344
21,1064.59,1.13329,0.73071,1.01641,0.07737,0.00343,0.87308,0.71725,0.78005,0.5352,1.08046,0.69537,1.04425,0.07882,0.00313,0.90812,0.89398,0.96073,0.65807,0.7816,0.63237,0.64758,0.47458,0.82402,0.71863,0.79182,0.55857,0.00133693,0.00133693,0.00133693
22,1112.37,1.12928,0.71754,1.01332,0.07224,0.00348,0.8452,0.67983,0.7444,0.50828,1.10967,0.68036,1.05778,0.17592,0.0032,0.93282,0.87678,0.95664,0.65695,0.72364,0.52941,0.51529,0.38279,0.76254,0.73399,0.72832,0.51461,0.00132043,0.00132043,0.00132043
23,1162.01,1.09885,0.69538,0.9996,0.07548,0.00347,0.82508,0.74804,0.79185,0.5493,1.10716,0.67412,1.04904,0.06334,0.00318,0.9426,0.89078,0.96563,0.6663,0.65732,0.64706,0.60648,0.4376,0.77855,0.79111,0.7831,0.55022,0.00130393,0.00130393,0.00130393
24,1209.81,1.07761,0.70577,0.99916,0.072,0.00334,0.88277,0.76466,0.81886,0.56689,1.05856,0.65985,1.03507,0.07151,0.00295,0.94434,0.89745,0.96536,0.67171,0.83077,0.57827,0.59951,0.41983,0.78343,0.75556,0.7605,0.53239,0.00128742,0.00128742,0.00128742
25,1257.81,1.06894,0.68586,0.99904,0.07283,0.00333,0.87847,0.75226,0.84232,0.58551,1.05847,0.6529,1.03775,0.07759,0.00309,0.93658,0.92491,0.97154,0.67113,0.77785,0.70588,0.69301,0.50528,0.87788,0.76824,0.82995,0.58673,0.00127092,0.00127092,0.00127092
26,1307.23,1.08493,0.66256,0.99904,0.06415,0.00342,0.82613,0.79881,0.79662,0.56488,1.09301,0.68093,1.04473,0.07114,0.00313,0.94971,0.88225,0.94845,0.65715,0.83206,0.58328,0.63291,0.47855,0.83448,0.74065,0.77138,0.55573,0.00125442,0.00125442,0.00125442
27,1357.85,1.08995,0.66868,0.9967,0.06901,0.00338,0.77256,0.8168,0.84252,0.5911,1.04861,0.64679,1.02837,0.0621,0.00307,0.9252,0.90762,0.9644,0.66949,0.76491,0.70588,0.68607,0.51417,0.79371,0.76932,0.81441,0.58441,0.00123791,0.00123791,0.00123791
28,1408,1.08016,0.6585,0.99239,0.06952,0.00308,0.90722,0.78828,0.84355,0.55386,1.10828,0.64819,1.05008,0.074,0.00333,0.94187,0.88055,0.96477,0.66137,0.8566,0.52941,0.62373,0.43302,0.88839,0.69354,0.78173,0.53938,0.00122141,0.00122141,0.00122141
29,1458.3,1.08838,0.66235,1.00571,0.06229,0.00315,0.77304,0.81409,0.85721,0.56883,1.0881,0.66056,1.04969,0.06041,0.00313,0.94708,0.88567,0.96587,0.65189,0.71063,0.76471,0.70285,0.49495,0.80461,0.79748,0.83337,0.57259,0.00120491,0.00120491,0.00120491
30,1508.41,1.06208,0.65823,0.98854,0.06193,0.00323,0.8329,0.81188,0.8592,0.59543,1.04041,0.62672,1.01287,0.06177,0.00304,0.93169,0.90779,0.96662,0.67803,0.7492,0.70588,0.7104,0.51826,0.84014,0.76335,0.83321,0.59483,0.0011884,0.0011884,0.0011884
31,1558.54,1.07735,0.65208,0.99,0.06918,0.00314,0.88041,0.82092,0.8548,0.5992,1.09745,0.63031,1.02844,0.06498,0.003,0.96466,0.88516,0.9653,0.66538,0.9222,0.69784,0.73218,0.5323,0.87673,0.78224,0.84251,0.59465,0.0011719,0.0011719,0.0011719
32,1608.4,1.03986,0.62655,0.9866,0.06906,0.00315,0.88161,0.79577,0.8266,0.57954,1.02685,0.616,1.00295,0.07528,0.00303,0.95469,0.89898,0.96818,0.68161,0.73815,0.70588,0.69109,0.4898,0.84383,0.79505,0.82726,0.58396,0.0011554,0.0011554,0.0011554
