epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
1,18.4292,3.85222,7.61496,3.46298,0,0,0,0,4.29818,4.95852,3.19969,0.000548543,0.000548543,0.000548543
2,35.1683,3.6682,7.22989,3.08729,0,0,0,0,4.07335,5.20731,3.27766,0.00109328,0.00109328,0.00109328
3,51.6545,3.57849,6.96537,2.9432,0.00284,0.04,0.00155,0.00046,4.30929,19.5914,3.59781,0.00162701,0.00162701,0.00162701
4,68.3584,3.61802,6.87237,2.88879,0,0,0,0,3.76104,5.28663,3.12679,0.00161749,0.00161749,0.00161749
5,84.7629,3.51756,6.82157,2.76838,0,0,0,0,3.73432,5.89436,3.1168,0.00160099,0.00160099,0.00160099
6,101.476,3.42554,6.79458,2.72085,0.01064,0.04,0.00566,0.00057,3.70468,5.31399,3.63972,0.00158448,0.00158448,0.00158448
7,118.328,3.26665,6.75955,2.62809,0,0,0,0,3.40919,5.19366,2.99747,0.00156798,0.00156798,0.00156798
8,135.096,3.17927,6.78463,2.58043,0,0,0,0,3.7253,5.26789,3.27677,0.00155148,0.00155148,0.00155148
9,151.747,3.1833,6.68706,2.5598,0,0,0,0,3.58252,5.27385,3.22313,0.00153497,0.00153497,0.00153497
10,168.657,3.03124,6.75671,2.49339,0,0,0,0,3.2299,5.24902,2.926,0.00151847,0.00151847,0.00151847
11,185.63,2.98693,6.60733,2.45232,0,0,0,0,3.47468,5.20391,2.834,0.00150197,0.00150197,0.00150197
12,202.397,2.92714,6.57037,2.39755,0,0,0,0,3.31755,5.33565,3.06616,0.00148546,0.00148546,0.00148546
13,219.134,2.89094,6.55818,2.31349,0,0,0,0,3.42829,5.41237,3.66857,0.00146896,0.00146896,0.00146896
14,236.054,2.863,6.54672,2.29909,0,0,0,0,3.18829,5.27838,3.06157,0.00145246,0.00145246,0.00145246
15,253.088,2.81401,6.57908,2.27813,0,0,0,0,3.25147,5.30464,2.80429,0.00143595,0.00143595,0.00143595
16,270.215,2.74138,6.52008,2.29093,0,0,0,0,3.39164,5.74818,2.88644,0.00141945,0.00141945,0.00141945
17,287.054,2.81042,6.6123,2.29719,0,0,0,0,3.34604,5.42471,2.84864,0.00140295,0.00140295,0.00140295
18,304.104,2.74347,6.58811,2.186,0,0,0,0,3.2036,5.2955,2.67225,0.00138644,0.00138644,0.00138644
19,321.134,2.70504,6.53187,2.12057,0,0,0,0,3.23479,5.39199,2.74822,0.00136994,0.00136994,0.00136994
20,338.393,2.70413,6.48202,2.17087,0,0,0,0,3.28145,5.40145,2.721,0.00135344,0.00135344,0.00135344
21,355.105,2.62617,6.51677,2.12278,0,0,0,0,3.15557,5.23584,2.77897,0.00133693,0.00133693,0.00133693
22,372.15,2.64884,6.37287,2.17527,0,0,0,0,3.39115,5.30372,2.98271,0.00132043,0.00132043,0.00132043
23,389.042,2.63327,6.37691,2.13215,0,0,0,0,3.14943,5.31376,2.78508,0.00130393,0.00130393,0.00130393
24,406.143,2.57816,6.32965,2.08712,0,0,0,0,3.1947,5.84624,2.81239,0.00128742,0.00128742,0.00128742
